"App name","No.","Time","Source","Destination","Protocol","Length","Info"
"Volvo Cars","7391","624.132444","172.30.1.250","172.30.1.1","TLSv1.2","140","Change Cipher Spec, Encrypted Handshake Message"
"Volvo Cars","7392","624.132535","172.30.1.1","172.30.1.250","TCP","88","38394  >  443 [ACK] Seq=1259 Ack=5517 Win=105472 Len=0"
"Volvo Cars","7393","624.143224","172.30.1.250","172.30.1.1","TLSv1.3","1100","Application Data"
"Volvo Cars","7394","624.143356","172.30.1.250","172.30.1.1","TLSv1.2","752","Application Data"
"Volvo Cars","7395","624.143454","172.30.1.1","172.30.1.250","TCP","88","38394  >  443 [ACK] Seq=1259 Ack=6182 Win=111104 Len=0"
"Volvo Cars","7396","624.186266","172.30.1.1","172.30.1.250","TCP","108","38398  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=9960 SACK_PERM=1 TSval=1108945349 TSecr=0 WS=512"
"Volvo Cars","7397","624.187732","172.30.1.1","172.30.1.250","TCP","88","53040  >  443 [ACK] Seq=21053 Ack=568850 Win=2580992 Len=0"
"Volvo Cars","7398","624.252145","172.30.1.250","172.30.1.1","TCP","96","443  >  38398 [SYN, ACK] Seq=0 Ack=1 Win=4096 Len=0 MSS=9960 WS=512"
"Volvo Cars","7399","624.252498","172.30.1.1","172.30.1.250","TCP","88","38398  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"Volvo Cars","7400","624.253214","172.30.1.1","172.30.1.250","TLSv1.2","604","Client Hello"
"Volvo Cars","7401","624.253607","172.30.1.250","172.30.1.1","TCP","88","443  >  38398 [ACK] Seq=1 Ack=518 Win=2096128 Len=0"
"Volvo Cars","7402","624.332977","172.30.1.250","172.30.1.1","TLSv1.2","244","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"Volvo Cars","7403","624.333424","172.30.1.1","172.30.1.250","TCP","88","38398  >  443 [ACK] Seq=518 Ack=157 Win=67072 Len=0"
"Volvo Cars","7404","624.334637","172.30.1.1","172.30.1.250","TLSv1.2","140","Change Cipher Spec, Encrypted Handshake Message"
"Volvo Cars","7405","624.334940","172.30.1.250","172.30.1.1","TCP","88","443  >  38398 [ACK] Seq=157 Ack=569 Win=2096640 Len=0"
"Volvo Cars","7406","624.335196","172.30.1.1","172.30.1.250","TLSv1.2","688","Application Data"
"Volvo Cars","7407","624.335431","172.30.1.250","172.30.1.1","TCP","88","443  >  38398 [ACK] Seq=157 Ack=1168 Win=2096128 Len=0"
"Volvo Cars","7408","624.712664","172.30.1.1","172.30.1.250","TCP","108","38402  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=9960 SACK_PERM=1 TSval=1108945874 TSecr=0 WS=512"
"Volvo Cars","7409","624.717660","172.30.1.1","172.30.1.250","TCP","108","38406  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=9960 SACK_PERM=1 TSval=1108945880 TSecr=0 WS=512"
